TIMESTAMP, DateTime, Comment, CO2r, CO2a, CO2d, H2Or, H2Oa, H2Od, PARi, PARe, Red, Green, Blue, White, FarRed, Tamb, Tcuv, Tleaf, Aleaf, Flow, Patm, Pcuv, RH, Ci, gs, VPD, A, E, WUE, rb, StomataR, ZDiff, Ccontrol, Hcontrol, Tsensor, Tcontrol, Lcontrol, Accessory, Status
1708671422,  02/23/2024 07:57:02, , 1399.803626, 1336.090924, -63.712701, 15.022875, 25.035750, 10.012875, 500, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 28.061464, 27.535972, 25.723341, 4.000000, 301.247637, 1009.727250, 0.049764, 68.448061, 1259.967617, 1030.126489, 0.791359, 27.995315, 5.751261, 4.867682, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671442,  02/23/2024 07:57:22, , 1400.034740, 1335.941920, -64.092819, 14.585634, 24.560280, 9.974645, 500, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 28.008082, 27.853461, 25.696669, 4.000000, 301.274053, 1010.137684, 0.051219, 65.940851, 1254.867622, 952.956230, 0.833113, 28.244584, 5.727012, 4.931818, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671482,  02/23/2024 07:58:02, , 1400.391585, 1310.046487, -90.345097, 14.864827, 25.066429, 10.201601, 1000, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 27.994188, 25.506855, 26.530001, 4.000000, 300.471441, 1009.579766, 0.049455, 77.227614, 1181.929338, 815.546819, 0.950762, 42.806584, 5.844749, 7.323937, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671502,  02/23/2024 07:58:22, , 1400.710611, 1310.195953, -90.514658, 15.261203, 25.458728, 10.197525, 1000, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 27.874830, 31.673759, 26.550001, 4.000000, 300.086320, 1009.757471, 0.049205, 54.843229, 1186.826069, 857.716083, 0.914808, 42.845413, 5.837274, 7.339968, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671522,  02/23/2024 07:58:42, , 1399.871927, 1309.893156, -89.978770, 14.635284, 24.871054, 10.235770, 1000, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 27.981650, 24.774352, 26.516665, 4.000000, 300.158907, 1010.787255, 0.050565, 80.138291, 1180.956621, 803.404999, 0.964746, 42.534471, 5.857052, 7.262094, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671542,  02/23/2024 07:59:02, , 1399.478816, 1309.305263, -90.173553, 15.228769, 25.429913, 10.201143, 1000, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 28.016996, 24.083580, 26.536674, 4.000000, 300.365515, 1009.916685, 0.049566, 85.325502, 1186.502436, 859.705317, 0.914576, 42.697530, 5.844606, 7.305458, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671582,  02/23/2024 07:59:42, , 1400.952048, 1285.385308, -115.566739, 14.779104, 26.786742, 12.007637, 1800, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 27.939137, 26.394847, 28.063337, 4.000000, 299.437080, 1010.418844, 0.049704, 78.366833, 1124.252247, 828.673566, 1.102157, 55.501243, 6.867908, 8.081243, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671602,  02/23/2024 08:00:02, , 1400.142970, 1285.268635, -114.874334, 14.890998, 26.897878, 12.006880, 1800, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 27.976115, 27.064620, 28.070000, 4.000000, 300.699246, 1010.151516, 0.048993, 75.630443, 1126.430070, 842.417015, 1.093128, 55.348494, 6.897210, 8.024764, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671622,  02/23/2024 08:00:22, , 1399.819192, 1284.983327, -114.835865, 14.757979, 26.745927, 11.987948, 1800, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 28.000685, 26.441165, 28.056664, 4.000000, 299.889330, 1009.913463, 0.050566, 77.994968, 1123.921196, 823.909170, 1.106150, 55.195248, 6.866715, 8.038086, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671642,  02/23/2024 08:00:42, , 1399.300183, 1284.652741, -114.647442, 15.179986, 27.194677, 12.014690, 1800, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 27.944721, 27.501175, 28.050001, 4.000000, 300.340192, 1010.244245, 0.049929, 74.540272, 1131.444739, 879.961802, 1.058452, 55.151510, 6.895559, 7.998119, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
